Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Binarni uzorci,1000,20,Naivni,0.021,1,1.00,Da
Binarni uzorci,1000,20,KMP,0.037,1,0.08,Da
Binarni uzorci,1000,20,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,20,Boyer-Moore,0.005,1,1.00,Da
Binarni uzorci,10000,3,Naivni,0.192,1,1.00,Da
Binarni uzorci,10000,3,KMP,0.357,1,0.01,Da
Binarni uzorci,10000,3,Rabin-Karp,0.190,1,2.00,Da
Binarni uzorci,10000,3,Boyer-Moore,0.109,1,1.00,Da
Binarni uzorci,10000,10,Naivni,0.196,1,1.00,Da
Binarni uzorci,10000,10,KMP,0.367,1,0.04,Da
Binarni uzorci,10000,10,Rabin-Karp,0.191,1,2.00,Da
Binarni uzorci,10000,10,Boyer-Moore,0.040,1,1.00,Da
Binarni uzorci,10000,20,Naivni,0.192,1,1.00,Da
Binarni uzorci,10000,20,KMP,0.359,1,0.08,Da
Binarni uzorci,10000,20,Rabin-Karp,0.186,1,2.00,Da
Binarni uzorci,10000,20,Boyer-Moore,0.020,1,1.00,Da
Binarni uzorci,100000,3,Naivni,1.913,1,1.00,Da
Binarni uzorci,100000,3,KMP,3.684,1,0.01,Da
Binarni uzorci,100000,3,Rabin-Karp,1.858,1,2.00,Da
Binarni uzorci,100000,3,Boyer-Moore,1.086,1,1.00,Da
Binarni uzorci,100000,10,Naivni,1.940,1,1.00,Da
Binarni uzorci,100000,10,KMP,3.595,1,0.04,Da
Binarni uzorci,100000,10,Rabin-Karp,1.934,1,2.00,Da
Binarni uzorci,100000,10,Boyer-Moore,0.329,1,1.00,Da
Binarni uzorci,100000,20,Naivni,1.919,1,1.00,Da
Binarni uzorci,100000,20,KMP,3.668,1,0.08,Da
Binarni uzorci,100000,20,Rabin-Karp,1.866,1,2.00,Da
Binarni uzorci,100000,20,Boyer-Moore,0.169,1,1.00,Da
