Algorithm,Test_Category,Data_Type,Text_Size_Bytes,Pattern_Size_Bytes,Execution_Time_Ms,Memory_Usage_KB,Matches_Found,Is_Correct,L1_Cache_Misses,L2_Cache_Misses,Instructions,Cache_Miss_Rate,Efficiency_Score,Cache_Efficiency,Cache_Data_Available
Boyer-Moore,Standard,System Logs,100000,4,0.859000,1.000,522,Yes,6248,0,870908,0.00717412,98.671,99.283,Yes
Naive,Standard,System Logs,100000,16,2.017333,0.000,1,Yes,24992,0,2056358,0.01215353,99.081,98.785,Yes
KMP,Standard,System Logs,100000,16,3.644000,0.062,1,Yes,24992,0,3650050,0.00684703,98.282,99.315,Yes
Rabin-Karp,Standard,System Logs,100000,16,1.844000,2.000,1,Yes,24992,0,1867191,0.01338481,97.285,98.662,Yes
Boyer-Moore,Standard,System Logs,100000,16,0.320000,1.000,1,Yes,24992,0,321458,0.07774577,98.917,92.225,Yes
Naive,Standard,System Logs,100000,32,1.887667,0.000,1,Yes,49984,0,1936779,0.02580780,99.140,97.419,Yes
KMP,Standard,System Logs,100000,32,3.375000,0.125,1,Yes,49984,0,3434829,0.01455211,98.346,98.545,Yes
Rabin-Karp,Standard,System Logs,100000,32,1.856667,2.000,1,Yes,49984,0,1848362,0.02704232,97.280,97.296,Yes
Boyer-Moore,Standard,System Logs,100000,32,0.389000,1.000,1,Yes,49984,0,393329,0.12707937,98.885,87.292,Yes
Naive,Standard,Network Packets,1000,4,0.019000,0.000,1,Yes,0,0,19645,0.00000000,99.991,100.000,Yes
KMP,Standard,Network Packets,1000,4,0.036000,0.016,1,Yes,0,0,36199,0.00000000,99.969,100.000,Yes
Rabin-Karp,Standard,Network Packets,1000,4,0.019000,2.000,1,Yes,0,0,19475,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Network Packets,1000,4,0.011000,1.000,1,Yes,0,0,11262,0.00000000,99.057,100.000,Yes
Naive,Standard,Network Packets,1000,16,0.019000,0.000,1,Yes,0,0,19483,0.00000000,99.991,100.000,Yes
KMP,Standard,Network Packets,1000,16,0.036000,0.062,1,Yes,0,0,36596,0.00000000,99.925,100.000,Yes
Rabin-Karp,Standard,Network Packets,1000,16,0.019000,2.000,1,Yes,0,0,19112,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Network Packets,1000,16,0.005000,1.000,1,Yes,0,0,5616,0.00000000,99.060,100.000,Yes
Naive,Standard,Network Packets,1000,32,0.017667,0.000,1,Yes,0,0,18375,0.00000000,99.992,100.000,Yes
KMP,Standard,Network Packets,1000,32,0.034000,0.125,1,Yes,0,0,34533,0.00000000,99.867,100.000,Yes
Rabin-Karp,Standard,Network Packets,1000,32,0.019000,2.000,1,Yes,0,0,19808,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Network Packets,1000,32,0.004667,1.000,1,Yes,0,0,6091,0.00000000,99.060,100.000,Yes
Naive,Standard,Network Packets,10000,4,0.190333,0.000,1,Yes,0,0,197425,0.00000000,99.913,100.000,Yes
KMP,Standard,Network Packets,10000,4,0.365333,0.016,1,Yes,0,0,360033,0.00000000,99.819,100.000,Yes
Rabin-Karp,Standard,Network Packets,10000,4,0.244000,2.000,1,Yes,0,0,200454,0.00000000,98.014,100.000,Yes
Boyer-Moore,Standard,Network Packets,10000,4,0.082000,1.000,1,Yes,0,0,87162,0.00000000,99.025,100.000,Yes
Naive,Standard,Network Packets,10000,16,0.189333,0.000,1,Yes,0,0,190008,0.00000000,99.914,100.000,Yes
KMP,Standard,Network Packets,10000,16,0.369000,0.062,1,Yes,0,0,363541,0.00000000,99.773,100.000,Yes
Rabin-Karp,Standard,Network Packets,10000,16,0.194667,2.000,1,Yes,0,0,187908,0.00000000,98.036,100.000,Yes
Boyer-Moore,Standard,Network Packets,10000,16,0.024333,1.000,1,Yes,0,0,24679,0.00000000,99.051,100.000,Yes
Naive,Standard,Network Packets,10000,32,0.188000,0.000,1,Yes,0,0,200250,0.00000000,99.914,100.000,Yes
KMP,Standard,Network Packets,10000,32,0.334667,0.125,1,Yes,0,0,342633,0.00000000,99.730,100.000,Yes
Rabin-Karp,Standard,Network Packets,10000,32,0.187000,2.000,1,Yes,0,0,193595,0.00000000,98.040,100.000,Yes
Boyer-Moore,Standard,Network Packets,10000,32,0.015000,1.000,1,Yes,0,0,13962,0.00000000,99.056,100.000,Yes
Naive,Standard,Network Packets,100000,4,1.892667,0.000,1,Yes,6248,0,1936333,0.00322672,99.138,99.677,Yes
KMP,Standard,Network Packets,100000,4,3.651333,0.016,1,Yes,6248,0,3612537,0.00172953,98.323,99.827,Yes
Rabin-Karp,Standard,Network Packets,100000,4,2.075000,2.000,1,Yes,6248,0,1941424,0.00321826,97.180,99.678,Yes
Boyer-Moore,Standard,Network Packets,100000,4,0.833000,1.000,1,Yes,6248,0,832729,0.00750304,98.683,99.250,Yes
Naive,Standard,Network Packets,100000,16,1.979000,0.000,1,Yes,24992,0,2066658,0.01209295,99.099,98.791,Yes
KMP,Standard,Network Packets,100000,16,3.664000,0.062,1,Yes,24992,0,3638079,0.00686956,98.273,99.313,Yes
Rabin-Karp,Standard,Network Packets,100000,16,1.892333,2.000,1,Yes,24992,0,1872733,0.01334520,97.263,98.665,Yes
Boyer-Moore,Standard,Network Packets,100000,16,0.215333,1.000,1,Yes,24992,0,210174,0.11891100,98.964,88.109,Yes
Naive,Standard,Network Packets,100000,32,1.809333,0.000,1,Yes,49984,0,1836037,0.02722385,99.176,97.278,Yes
KMP,Standard,Network Packets,100000,32,3.347000,0.125,1,Yes,49984,0,3349908,0.01492101,98.359,98.508,Yes
Rabin-Karp,Standard,Network Packets,100000,32,1.884000,2.000,1,Yes,49984,0,1876045,0.02664328,97.267,97.336,Yes
Boyer-Moore,Standard,Network Packets,100000,32,0.109000,1.000,1,Yes,49984,0,104374,0.47889321,99.013,52.111,Yes
Naive,Standard,Binary Patterns,1000,4,0.019000,0.000,1,Yes,0,0,20054,0.00000000,99.991,100.000,Yes
KMP,Standard,Binary Patterns,1000,4,0.036000,0.016,1,Yes,0,0,36333,0.00000000,99.969,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,1000,4,0.019000,2.000,1,Yes,0,0,19437,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,1000,4,0.011000,1.000,1,Yes,0,0,11262,0.00000000,99.057,100.000,Yes
Naive,Standard,Binary Patterns,1000,16,0.019000,0.000,1,Yes,0,0,19729,0.00000000,99.991,100.000,Yes
KMP,Standard,Binary Patterns,1000,16,0.036000,0.062,1,Yes,0,0,36970,0.00000000,99.925,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,1000,16,0.019000,2.000,1,Yes,0,0,19229,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,1000,16,0.005000,1.000,1,Yes,0,0,5803,0.00000000,99.060,100.000,Yes
Naive,Standard,Binary Patterns,1000,32,0.018000,0.000,1,Yes,0,0,18208,0.00000000,99.992,100.000,Yes
KMP,Standard,Binary Patterns,1000,32,0.034000,0.125,1,Yes,0,0,36833,0.00000000,99.867,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,1000,32,0.019000,2.000,1,Yes,0,0,20245,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,1000,32,0.004667,1.000,1,Yes,0,0,5033,0.00000000,99.060,100.000,Yes
Naive,Standard,Binary Patterns,10000,4,0.189667,0.000,1,Yes,0,0,195862,0.00000000,99.914,100.000,Yes
KMP,Standard,Binary Patterns,10000,4,0.371667,0.016,1,Yes,0,0,364150,0.00000000,99.816,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,10000,4,0.192000,2.000,1,Yes,0,0,218583,0.00000000,98.038,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,10000,4,0.083333,1.000,1,Yes,0,0,82545,0.00000000,99.025,100.000,Yes
Naive,Standard,Binary Patterns,10000,16,0.189667,0.000,1,Yes,0,0,192545,0.00000000,99.914,100.000,Yes
KMP,Standard,Binary Patterns,10000,16,0.367667,0.062,1,Yes,0,0,358404,0.00000000,99.774,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,10000,16,0.199333,2.000,1,Yes,0,0,200308,0.00000000,98.034,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,10000,16,0.024000,1.000,1,Yes,0,0,24650,0.00000000,99.052,100.000,Yes
Naive,Standard,Binary Patterns,10000,32,0.176000,0.000,1,Yes,0,0,178591,0.00000000,99.920,100.000,Yes
KMP,Standard,Binary Patterns,10000,32,0.358667,0.125,1,Yes,0,0,338733,0.00000000,99.719,100.000,Yes
Rabin-Karp,Standard,Binary Patterns,10000,32,0.188000,2.000,1,Yes,0,0,188604,0.00000000,98.039,100.000,Yes
Boyer-Moore,Standard,Binary Patterns,10000,32,0.014000,1.000,1,Yes,0,0,14254,0.00000000,99.056,100.000,Yes
Naive,Standard,Binary Patterns,100000,4,1.930000,0.000,1,Yes,6248,0,1953700,0.00319803,99.121,99.680,Yes
KMP,Standard,Binary Patterns,100000,4,3.911333,0.016,1,Yes,6248,0,3745245,0.00166825,98.204,99.833,Yes
Rabin-Karp,Standard,Binary Patterns,100000,4,1.953667,2.000,1,Yes,6248,0,1979654,0.00315611,97.235,99.684,Yes
Boyer-Moore,Standard,Binary Patterns,100000,4,0.797667,1.000,1,Yes,6248,0,818383,0.00763457,98.699,99.237,Yes
Naive,Standard,Binary Patterns,100000,16,2.131000,0.000,1,Yes,24992,0,1959770,0.01275252,99.030,98.725,Yes
KMP,Standard,Binary Patterns,100000,16,3.651000,0.062,1,Yes,24992,0,3638295,0.00686915,98.279,99.313,Yes
Rabin-Karp,Standard,Binary Patterns,100000,16,1.871667,2.000,1,Yes,24992,0,1899929,0.01315418,97.273,98.685,Yes
Boyer-Moore,Standard,Binary Patterns,100000,16,0.208000,1.000,1,Yes,24992,0,206862,0.12081484,98.968,87.919,Yes
Naive,Standard,Binary Patterns,100000,32,1.800667,0.000,1,Yes,49984,0,1832645,0.02727424,99.180,97.273,Yes
