Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Binarni uzorci,1000,10,Naivni,0.022,1,5.0,Da
Binarni uzorci,1000,10,KMP,0.039,1,8.0,Da
Binarni uzorci,1000,10,Rabin-Karp,0.020,1,9.0,Da
Binarni uzorci,1000,10,Boyer-Moore,0.007,1,12.0,Da
Binarni uzorci,1000,20,Naivni,0.020,1,5.0,Da
Binarni uzorci,1000,20,KMP,0.039,1,8.0,Da
Binarni uzorci,1000,20,Rabin-Karp,0.020,1,9.0,Da
Binarni uzorci,1000,20,Boyer-Moore,0.005,1,12.0,Da
Binarni uzorci,10000,3,Naivni,0.189,1,5.0,Da
Binarni uzorci,10000,3,KMP,0.366,1,8.0,Da
Binarni uzorci,10000,3,Rabin-Karp,0.185,1,9.0,Da
Binarni uzorci,10000,3,Boyer-Moore,0.142,1,12.0,Da
Binarni uzorci,10000,10,Naivni,0.189,1,5.0,Da
Binarni uzorci,10000,10,KMP,0.357,1,8.0,Da
Binarni uzorci,10000,10,Rabin-Karp,0.186,1,9.0,Da
Binarni uzorci,10000,10,Boyer-Moore,0.039,1,12.0,Da
Binarni uzorci,10000,20,Naivni,0.191,1,5.0,Da
Binarni uzorci,10000,20,KMP,0.357,1,8.0,Da
Binarni uzorci,10000,20,Rabin-Karp,0.185,1,9.0,Da
Binarni uzorci,10000,20,Boyer-Moore,0.020,1,12.0,Da
Binarni uzorci,100000,3,Naivni,1.901,1,5.0,Da
Binarni uzorci,100000,3,KMP,3.646,1,8.0,Da
Binarni uzorci,100000,3,Rabin-Karp,1.865,1,9.0,Da
Binarni uzorci,100000,3,Boyer-Moore,1.313,1,12.0,Da
Binarni uzorci,100000,10,Naivni,2.032,1,5.0,Da
Binarni uzorci,100000,10,KMP,3.732,1,8.0,Da
Binarni uzorci,100000,10,Rabin-Karp,1.894,1,9.0,Da
Binarni uzorci,100000,10,Boyer-Moore,0.327,1,12.0,Da
Binarni uzorci,100000,20,Naivni,1.925,1,5.0,Da
Binarni uzorci,100000,20,KMP,3.648,1,8.0,Da
Binarni uzorci,100000,20,Rabin-Karp,1.961,1,9.0,Da
Binarni uzorci,100000,20,Boyer-Moore,0.198,1,12.0,Da
